fixture_id,minute,minute_extra,team_id,team_name,type,detail,player_id,player_name,assist_id,assist_name
1035037,4,,50,Manchester City,Goal,Normal Goal,1100,E. Haaland,44,Rodri
1035037,23,,50,Manchester City,subst,Substitution 1,629,K. De Bruyne,2291,M. Kovačić
1035037,36,,50,Manchester City,Goal,Normal Goal,1100,E. Haaland,6009,J. Álvarez
1035037,61,,44,Burnley,subst,Substitution 1,359603,L. Koleosho,22,J. Bruun Larsen
1035037,61,,44,Burnley,subst,Substitution 2,123469,Z. Amdouni,129169,A. Zaroury
1035037,74,,44,Burnley,subst,Substitution 3,25628,J. Beyer,8589,B. Manuel
1035037,75,,50,Manchester City,Goal,Normal Goal,44,Rodri,,
1035037,79,,50,Manchester City,subst,Substitution 2,18861,N. Aké,622,Aymeric Laporte
1035037,79,,50,Manchester City,subst,Substitution 3,284230,R. Lewis,129033,J. Gvardiol
1035037,80,,50,Manchester City,subst,Substitution 4,1100,E. Haaland,152982,C. Palmer
1035037,90,4,44,Burnley,Card,Red Card,129169,Anass Zaroury,,
1035037,90,3,44,Burnley,Var,Card upgrade,129169,Anass Zaroury,,
1035037,90,1,44,Burnley,subst,Substitution 4,98936,L. Foster,18948,N. Redmond
1035037,90,1,44,Burnley,subst,Substitution 5,1934,S. Berge,19268,J. Brownhill
1035037,90,5,50,Manchester City,subst,Substitution 5,627,K. Walker,158697,J. McAtee
1035038,26,,42,Arsenal,Goal,Normal Goal,1468,E. Nketiah,127769,Gabriel Martinelli
1035038,28,,65,Nottingham Forest,Card,Yellow Card,2771,Ola Aina,,
1035038,32,,42,Arsenal,Goal,Normal Goal,1460,B. Saka,22090,W. Saliba
1035038,45,5,42,Arsenal,Card,Yellow Card,38746,Jurriën Timber,,
1035038,50,,42,Arsenal,subst,Substitution 1,38746,J. Timber,2597,T. Tomiyasu
1035038,71,,65,Nottingham Forest,subst,Substitution 1,275170,Danilo,8598,T. Awoniyi
1035038,72,,65,Nottingham Forest,subst,Substitution 2,2771,O. Aina,138780,N. Williams
