fixture_id,date_utc,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,home_xG_avg,away_xG_avg,home_xGA_avg,away_xGA_avg,home_team_rating,away_team_rating,home_form_points,away_form_points,home_win_streak,away_win_streak,rest_days_home,rest_days_away,h2h_home_wins,h2h_away_wins,key_players_missing_home,key_players_missing_away,match_importance
1378969,2025-08-15 19:00:00+00:00,40,Liverpool,35,Bournemouth,4,2,,,,,6.725454545454545,7.043636363636364,2.0,8.0,,,,,0,0,0,0,1.0
1378970,2025-08-16 11:30:00+00:00,66,Aston Villa,34,Newcastle,0,0,,,,,6.650909090909091,6.830909090909091,1.0,9.0,,,,,0,0,0,0,1.0
1378971,2025-08-16 14:00:00+00:00,51,Brighton,36,Fulham,1,1,,,,,7.12909090909091,6.941818181818182,10.0,11.0,,,,,0,0,0,0,1.0
1378972,2025-08-17 13:00:00+00:00,65,Nottingham Forest,55,Brentford,3,1,,,,,6.830909090909091,7.085454545454544,5.0,10.0,,,,,0,0,0,0,1.0
1378973,2025-08-16 14:00:00+00:00,746,Sunderland,48,West Ham,3,0,,,,,6.8127272727272725,6.856363636363636,8.0,8.0,,,,,0,0,0,0,1.0
1378974,2025-08-16 14:00:00+00:00,47,Tottenham,44,Burnley,3,0,,,,,6.9799999999999995,6.954363636363636,8.0,10.0,,,,,0,0,0,0,1.0
1378975,2025-08-16 16:30:00+00:00,39,Wolves,50,Manchester City,0,4,,,,,6.774545454545455,6.822626262626263,6.0,7.0,,,,,0,0,0,0,1.0
1378976,2025-08-17 13:00:00+00:00,49,Chelsea,52,Crystal Palace,0,0,,,,,6.683636363636363,6.7681818181818185,4.0,8.0,,,,,0,0,0,0,1.0
1378977,2025-08-17 15:30:00+00:00,33,Manchester United,42,Arsenal,0,1,,,,,,6.889090909090909,,9.0,,,,,0,0,0,0,1.0
1378978,2025-08-18 19:00:00+00:00,63,Leeds,45,Everton,1,0,,,,,6.647272727272728,6.552727272727273,4.0,1.0,,,,,0,0,0,0,1.0
1378979,2025-08-23 16:30:00+00:00,42,Arsenal,63,Leeds,5,0,,,,,7.081818181818181,6.872727272727272,3.0,3.0,,,6.041666666666667,4.895833333333333,0,0,0,0,1.0
1378980,2025-08-23 14:00:00+00:00,35,Bournemouth,39,Wolves,1,0,,,,,6.609090909090909,6.336363636363637,0.0,0.0,,,7.791666666666667,6.895833333333333,0,0,0,0,1.0
